y,x1,x2,x3,x4,x5,x6
11.2,37.1,0.4936,808,972,5.2,1023
12.6,30.6,0.446,616,884,3.9,955
10.3,32.9,0.4131,609,868,4.1,943
10,35.5,0.4346,471,804,2.5,895
8.8,40,0.4538,391,803,2.2,890
8.3,40.3,0.4431,398,807,2.3,904
7.9,38.9,0.4141,419,791,2.4,888
6.8,41,0.4072,509,822,2.9,905
6,42,0.3962,723,884,4.9,974
5.5,43.5,0.3963,888,955,6.8,1048
4.6,46.8,0.4001,596,826,3.1,895
4.5,48,0.4085,451,793,2.1,875
4.3,48.6,0.4069,581,870,3.9,943
4,50,0.4115,698,878,3.8,947
4,52.9,0.4338,423,797,1.8,865
4,51,0.42,332,755,1,823
3.9,48.1,0.393,280,699,0.6,798
3.8,48,0.3879,261,667,0.4,781
3.6,50.3,0.4022,252,669,0.3,781
2.8,52.6,0.3972,257,684,0.2,779
2.5,52.7,0.3908,308,732,0.7,817
2.7,50.5,0.3804,456,837,2.6,893
2.7,49.4,0.3714,527,842,3.1,883
3.3,45.2,0.354,475,780,2.3,839
3.1,43.3,0.3354,434,744,2,809
3.7,38.8,0.3123,385,726,2,805
4,36.8,0.3016,435,757,3.1,840
3.7,35,0.2823,421,731,2.9,812
3.4,32.4,0.2563,371,673,2.1,782
3.3,33.1,0.2592,382,699,2.5,799
2.6,35.1,0.2618,408,716,2.8,812
2.1,36.6,0.2634,676,858,6.7,922
1.6,37.9,0.2645,798,885,8.1,938
1.4,38,0.2615,793,870,7.4,939
1,36.6,0.2456,573,727,3.6,827
1.1,35.4,0.2382,402,655,1.9,776
1,34.3,0.2292,343,621,1.4,755
1,37.4,0.2487,322,642,1.2,766
0.7,41.2,0.2693,307,640,0.9,762
0.2,40.6,0.2566,268,602,0.6,736
0.1,40,0.2499,227,559,0.2,715
-0.1,37.5,0.2326,221,551,0.2,716
-0.3,38.4,0.2347,225,561,0.3,731
-0.6,40.1,0.2404,232,579,0.3,735
-0.6,41.4,0.2478,313,652,1,779
-0.2,40.2,0.2478,629,839,5.2,915
0.6,36.8,0.2388,790,840,6.1,905
2.8,30.3,0.2294,630,720,3.6,835
3.1,29.1,0.224,472,660,2.3,798
3.3,29.2,0.2288,378,647,1.9,783
3.1,31,0.2386,384,684,2.6,807
3.2,30.8,0.2399,426,709,3.1,827
3.3,31.5,0.2464,442,701,2.7,822
4.1,28.6,0.2363,467,710,3,830
3.9,29.2,0.2378,448,708,3,833
1.9,35,0.2494,582,815,5,882
1.8,35.4,0.2497,892,887,7.5,967
1.4,36.5,0.2503,1006,935,9.5,1009
0.8,36.3,0.2388,852,796,5.3,911
0.6,34.1,0.221,543,672,2.4,808
0.3,31.9,0.2031,529,669,2.5,812
0.2,30.2,0.191,465,637,2.2,790
0,29.7,0.1847,405,601,1.5,765
-0.1,31.9,0.1975,332,605,1.3,761
-1.1,41.4,0.2379,420,650,0.9,788
-1.4,44.9,0.2536,532,669,0.7,790
-1.3,46.3,0.2635,630,698,0.9,804
-1.2,47.2,0.27,768,722,1.4,831
-1.3,47.5,0.2702,866,813,3.5,881
-1.9,51.4,0.2801,1254,1056,11,1099
-0.5,45.9,0.2763,1347,1072,12.4,1100
4.6,32.5,0.2783,1216,922,8.3,1042
7.5,24.3,0.2528,1151,942,8.9,1026
9.6,18.8,0.2246,699,767,5.7,905
9.3,18.4,0.2157,584,764,5.5,891
9.7,18.6,0.2244,836,897,9,968
10.1,16.7,0.2062,626,802,6.3,909
11.8,13.5,0.1862,878,855,9.1,938
11.6,15.3,0.2086,952,885,8.4,971
9.1,19.2,0.2225,1460,1126,17.5,1148
7.2,25.6,0.2611,1855,1325,23.3,1299
6.1,34,0.3237,1860,1282,19,1315
5.1,36.4,0.323,1629,1054,11.1,1180
4.8,39.6,0.344,1454,936,6.2,1070
5,39.6,0.3479,1348,905,5,1031
4.1,41.7,0.3456,1326,907,5.3,1047
4.4,43.3,0.3656,1285,893,4.2,1030
3.8,45.9,0.3728,1205,884,3.5,986
3.6,49.7,0.396,1220,887,3,992
3.4,56.3,0.4455,1448,947,4.1,1076
2.9,67.9,0.5183,1433,1001,4,1104
2.8,74.1,0.5618,1447,1063,5.1,1160
2.9,75.6,0.5742,1481,1120,6.7,1217
3.8,72.4,0.5867,1785,1422,15.6,1457
5.9,50.2,0.4706,1756,1406,17.1,1337
7.3,39.4,0.4035,1368,1069,8.8,1111
3.6,75.9,0.6055,1197,1155,6.9,1165
3.6,78.6,0.6283,1084,1127,5.4,1129
5.3,69.2,0.6213,1039,1088,4.9,1092
6.1,66,0.6255,961,1107,5.3,1096
6,70.1,0.6577,964,1115,5.4,1108
6.3,72.1,0.6907,941,1147,5.5,1124
6.3,75.7,0.7252,1111,1252,7.5,1216
5.6,80.4,0.7382,1459,1510,16.7,1437
4.9,82.4,0.7201,1519,1539,18.2,1473
4.3,84,0.7051,1412,1488,15.5,1396
4.3,83.6,0.7025,1336,1331,10.9,1285
4.6,82.5,0.7066,1285,1235,8.7,1206
4.4,82,0.6938,1240,1205,7.3,1179
4.3,80.9,0.6791,1282,1206,7.5,1213
4.1,81.2,0.6721,1189,1173,6.8,1142
3.9,80.9,0.6613,1117,1108,4.7,1089
4.5,70.6,0.6004,1024,977,2.5,982
4.5,65.1,0.5547,744,912,1.3,888
4,75.2,0.6161,928,993,2.2,979
3.7,76.4,0.6164,1006,1049,3.6,1023
3.1,77.3,0.5985,1173,1180,7.5,1153
3.7,74.4,0.5992,1568,1497,16.8,1393
5,69.4,0.6118,1913,1848,28,1567
6.5,60.9,0.5919,1643,1432,15.8,1334
7.6,59.8,0.6245,1605,1435,15.5,1280
8.6,57.6,0.6471,1668,1399,14.9,1330
10.9,52.4,0.6826,1710,1493,16.4,1349
12.3,48.3,0.6871,1632,1443,15.6,1349
12.5,43.4,0.6298,1545,1411,16.1,1344
11.9,42.3,0.5902,1557,1401,16.6,1337
12.3,41.2,0.5867,1529,1392,15.9,1316
10.8,48.1,0.6235,1430,1327,13.3,1253
8.9,52.5,0.5996,1509,1336,14.9,1258
8.4,54.7,0.6057,1615,1479,18.5,1326
7.5,58.7,0.6112,1242,1132,7.9,1109
6.9,60,0.5977,1065,1049,5,1029
6.6,61.3,0.5995,1180,1104,6.5,1112
6.3,59.8,0.5761,1158,1070,6,1100
5.4,65.8,0.5935,1216,1132,6.8,1136
5.8,59.6,0.5523,971,989,4,1000
4.9,62.6,0.5477,1076,1003,4.4,1041
4.4,63.9,0.5385,1011,974,4,1009
4.2,62.5,0.5191,813,948,3.5,975
3.1,68.6,0.5302,1001,989,4.3,993
4.6,54.6,0.4682,655,866,2,872
5,54.5,0.4788,933,1034,6.1,1017
7,48.1,0.4847,1088,1112,8.7,1070
10,37.7,0.4643,562,866,3.1,915
13,30.3,0.452,586,955,5.2,978
14,28.1,0.4476,617,929,5.3,968
13.3,28.9,0.4399,705,998,6.7,1008
13.4,29,0.4436,814,1035,8.3,1025
13.5,28.3,0.4374,615,966,5.9,983
13,29.7,0.442,804,1015,7.3,1018
11.6,38.7,0.5271,861,1125,8.4,1101
8.6,56.3,0.6312,980,1176,7.7,1116
8.5,57.9,0.6435,1077,1205,9.1,1161
7.8,63.4,0.6735,1214,1284,10.9,1212
7.2,69.5,0.7084,1169,1255,10.2,1225
6.5,74.7,0.7248,1079,1197,7.8,1154
6.5,73.9,0.7224,1147,1171,7,1140
6.8,72.1,0.7143,1260,1220,9.2,1201
7,60,0.6055,929,998,4.6,1011
7.2,47.8,0.487,465,826,2.1,867
7.2,47.3,0.483,398,803,1.5,856
6.8,52.9,0.5245,342,810,1.3,859
5.8,65,0.6029,313,822,0.8,859
5.8,59.4,0.5502,292,788,0.6,842
5.5,58.3,0.529,367,833,1.1,856
5.9,54.8,0.5119,387,818,1,867
7.3,48.7,0.5007,399,829,1.5,877
9.4,39.9,0.4707,376,783,1.4,869
11.2,33.8,0.449,377,792,2,900
12.3,29.9,0.4255,379,782,2.3,899
14.8,23.7,0.3945,387,787,2.6,895
13.1,26.6,0.399,552,990,6.7,992
13.3,25.7,0.3914,930,1210,13.3,1104
12,27.7,0.3885,554,850,4,933
11.5,30.1,0.4067,723,916,5.3,973
10.1,33.2,0.4115,875,1036,8.6,1069
8.6,38.1,0.4282,949,942,6.2,1055
8,41.2,0.4433,869,926,5.3,1032
7.5,43.8,0.4551,747,905,4.1,982
6.8,46.9,0.465,740,891,3.5,968
6.1,46.3,0.4394,807,903,4.1,979
5.6,45.5,0.4187,653,836,3.2,935
5.4,48.8,0.4393,553,848,3.2,942
5.1,51.2,0.4534,412,785,1.7,883
5.3,51,0.4563,289,708,0.7,841
5.2,57.2,0.5094,262,730,0.5,843
4.5,63.1,0.5381,288,755,0.6,872
5.2,54.5,0.486,310,753,0.8,862
5.6,51.3,0.4712,418,827,1.7,917
5.9,45.4,0.4244,769,941,5.2,1022
6.9,41.3,0.4145,881,978,6.6,1022
8.6,34.2,0.3834,816,910,5.5,961
9.6,27.7,0.3308,684,811,4.4,912
10.6,25.3,0.3224,627,799,4.4,896
10.2,25.6,0.3181,523,779,4.3,890
10,25.2,0.3079,502,788,4.5,891
9.7,25.7,0.3088,604,805,4.5,894
9.7,26.8,0.3226,682,819,4.8,907
9.4,27.3,0.3216,846,888,6.3,973
7.9,28,0.2999,1027,985,9.6,1035
6.9,30.7,0.3066,1315,1148,15,1146
6.1,33.3,0.3152,1363,1137,15.4,1176
5,37.4,0.329,1236,982,8.9,1057
4.2,40.9,0.3417,1076,865,5,974
3.9,43.5,0.3538,1200,924,6.5,1044
3,47.7,0.3658,1081,868,4.4,988
2.5,52.1,0.3855,1174,918,5.3,1016
2,53.5,0.3831,1033,851,3.1,929
1,56.7,0.3803,900,815,1.9,876
0.5,59.4,0.3841,853,807,1.7,872
1.4,56.8,0.3903,886,820,1.9,888
0.9,58.4,0.388,949,846,2.8,927
0.3,61,0.3881,1037,931,5.5,991
0.9,59.1,0.3913,1571,1360,18.3,1317
4.1,47.9,0.3959,1885,1599,26.3,1402
7.7,34.6,0.3652,1683,1265,16.3,1222
10.9,25.7,0.3341,1412,1091,12.3,1109
13.7,17.4,0.2715,1006,864,7.4,959
14,16.8,0.2672,855,882,8.1,964
14.1,17,0.2729,964,988,10.8,1006
15,15.8,0.2678,886,920,9.7,1002
16.5,14.9,0.2775,947,926,9.9,997
15.8,16.7,0.2972,984,957,9.6,1019
13.2,23.9,0.3597,1450,1222,16.5,1192
11,33.8,0.4436,1837,1499,23.4,1399
9.5,39,0.4644,1899,1531,24.2,1419
8.5,42.4,0.4716,1629,1198,13.3,1250
7.5,44,0.4564,1490,1055,8.4,1156
6.6,46,0.4505,1319,954,5.4,1064
5.5,49.6,0.4526,1247,949,5.2,1066
4.9,52.2,0.4567,1144,927,4.6,1031
4.6,53.5,0.4584,1014,887,3.2,973
4.7,53.1,0.4589,885,873,2.2,937
3.8,56.8,0.4614,875,893,2.5,930
2.3,63.5,0.463,971,909,2.8,949
2,64.9,0.4657,1048,959,3.9,979
2,65.3,0.4688,1223,1061,7.2,1094
3.3,61.6,0.4829,1756,1497,20.9,1450
5.7,52.5,0.4851,2014,1685,27,1508
8.3,43.5,0.4774,1855,1375,18.5,1374
10.5,38.9,0.4926,1795,1261,14,1308
14.5,33.4,0.5488,1575,1198,10.5,1249
15.7,34.6,0.6147,1461,1305,11.2,1282
16.1,36.3,0.6593,1314,1292,10.3,1253
17.3,34.5,0.6728,1147,1216,8.6,1222
17.6,34.1,0.6781,948,1189,7.6,1201
18,33.1,0.6779,1252,1271,10.2,1238
14.6,41,0.6792,1676,1520,17.8,1434
12.8,46.2,0.6794,2056,1747,25.3,1573
11.5,53.9,0.7312,2088,1724,24.4,1552
10.6,58.8,0.7512,1945,1606,20,1510
9.7,60,0.7238,1482,1181,7.3,1165
8.3,64.2,0.7071,1448,1161,6.6,1177
7.8,65.5,0.6961,1304,1130,5.7,1135
7.5,65.9,0.6868,1186,1070,4.5,1070
6.1,72.1,0.6847,1051,1067,4.1,1034
4.6,78.2,0.6684,1038,1062,4.4,1014
4,80.9,0.667,969,1034,3.3,988
4.2,79.1,0.6611,951,1020,3.3,975
5.3,73.2,0.6577,970,1020,3.5,984
4.3,76.1,0.6395,1090,1143,6.4,1092
4.8,74.6,0.647,1673,1606,20.1,1454
7.5,64.5,0.6702,1833,1620,21.2,1446
11.7,49.3,0.6772,1828,1372,13.7,1316
14.7,41.2,0.6857,1724,1308,11.7,1283
17.4,33.2,0.6535,1547,1258,10.6,1223
18.8,26.2,0.5637,1300,1196,9.8,1176
19.1,18.1,0.3955,1000,1082,9.1,1041
19.5,15.3,0.3431,942,1016,9.2,1008
20.2,14.4,0.337,745,901,5.9,962
19.8,16,0.3632,941,1022,8.6,1048
16.5,21.6,0.4012,1232,1186,12.7,1145
14.5,18.3,0.2996,1527,1295,19.8,1198
12.8,22.8,0.3364,1746,1458,23.8,1319
11.5,35.9,0.4862,1741,1233,14.6,1274
9.5,34.6,0.411,1433,985,7.6,1085
8.3,38.2,0.4203,1235,922,4.9,1017
7.7,41.7,0.4387,1173,949,5.2,1039
6.8,44.9,0.4472,1171,936,4.8,1027
5.7,49.4,0.4551,1024,887,3.2,952
5.7,50.1,0.4629,928,864,2.4,930
4.4,56.4,0.4761,956,912,3.2,942
4.9,55.2,0.4807,871,870,2.1,897
4.5,56.3,0.48,884,908,2.7,928
3.8,59.7,0.4839,1010,957,4.5,987
4.3,58.6,0.4915,1416,1279,13.8,1272
7.1,50,0.5067,1817,1581,22.7,1452
11.1,38.4,0.5066,1870,1399,19.3,1415
,,,,,,
17.2,30.6,0.5949,1305,1162,9.3,1203
17.8,33.3,0.6741,1205,1297,12.1,1258
18.8,31.8,0.6853,1339,1404,14.2,1328
19.3,29.9,0.6604,1161,1319,12.3,1260
18.8,31.5,0.6752,996,1252,10.2,1201
18.2,28.1,0.5817,906,1211,10.4,1161
16,35.3,0.6356,1161,1349,13.9,1254
13.8,43.6,0.6825,1695,1661,23.1,1452
12.9,48.8,0.725,1705,1640,22.8,1438
12.8,49.3,0.7277,1379,1350,13.4,1273
12.2,50.9,0.7202,943,1146,6.8,1096
10.6,55.9,0.7138,1073,1156,6,1151
10.3,55.9,0.7014,1213,1157,5.7,1189
10.2,55.8,0.6927,898,1077,3.9,1078
10,57.3,0.7015,1094,1113,4.9,1152
10.2,57.9,0.7191,1064,1113,4.5,1128
10.3,59.4,0.7459,655,1027,2.3,1015
9.8,68.9,0.8329,470,1039,1.5,979
9.2,75.3,0.8764,443,1056,1.5,972
9.4,73.1,0.8621,547,1074,1.8,992
10.6,66.1,0.8444,570,1137,3.3,1053
12.6,58.5,0.8517,782,1209,5.8,1140
15,48.6,0.8253,744,1184,6.2,1136
14.2,51.5,0.8313,791,1206,6.7,1180
15.1,48.6,0.8266,749,1177,5.6,1131
18,35.4,0.7233,615,1105,5.8,1083
17.9,35.3,0.7184,681,1167,7,1120
17.7,35,0.7014,515,1042,3.8,1038
17.6,35.5,0.7065,583,1115,5.5,1096
17.5,34.1,0.6775,728,1140,7.6,1126
15.6,40,0.7018,827,1208,8.3,1153
14,47.8,0.7582,844,1224,7.5,1177
13.2,51.4,0.776,1310,1415,14.1,1383
12,56.1,0.7832,1353,1350,12.4,1363
11.6,54.7,0.7454,907,1130,5.8,1087
12,53.3,0.7472,646,1070,3.9,1028
12.5,55.4,0.7999,482,1044,2.8,1017
12.3,56,0.7958,526,1071,3.1,1050
12.4,53.4,0.7669,595,1069,3.3,1023
12.7,51.8,0.7574,416,991,2,940
13.2,49.7,0.7503,398,1006,2.5,963
12.3,55.9,0.7966,394,1004,2,971
13.3,50.1,0.7624,312,908,0.9,887
12.3,51.8,0.7384,381,985,1.6,944
12.9,50.4,0.7448,509,1018,2.1,970
12.9,49.9,0.7406,601,1060,3,1034
13.9,47.3,0.7479,962,1134,5,1160
13.5,51.6,0.7931,1231,1238,7.7,1283
13.2,56.2,0.8499,1396,1368,10.1,1387
14.2,57.8,0.9292,1297,1345,8.5,1325
17.2,46.2,0.8989,616,1103,2.8,1057
19.9,36.6,0.8406,509,1109,3.3,1078
19.7,37.1,0.8399,590,1158,5,1159
19,37.4,0.8122,718,1157,5.6,1195
16.4,43.5,0.8055,898,1234,7.1,1217
15.1,49.8,0.8458,1577,1520,16.7,1542
14.8,51,0.8507,1560,1397,12.5,1407
14.6,51.6,0.8508,1208,1204,6.6,1189
13.7,52.1,0.8121,1244,1245,8.3,1208
13.2,55.6,0.8412,1181,1217,7.1,1207
13.2,55.9,0.8465,828,1085,3.8,1056
11.7,62.1,0.8535,923,1178,5.2,1128
9.9,68.9,0.8388,1096,1187,5.3,1119
9.8,68,0.8227,1106,1122,3.8,1077
8.9,71.9,0.8202,976,1084,2.8,1036
8.4,74.5,0.8241,937,1090,2.9,1016
9.2,71,0.8299,1049,1139,4.4,1103
9.9,67.6,0.8239,1180,1257,7.5,1176
10.8,64.4,0.8328,1514,1543,15.7,1430
11.7,61.7,0.8483,1771,1763,22.9,1572
13.7,51.9,0.8106,1395,1349,10.8,1243
16.3,43.5,0.7988,1024,1157,6.1,1101
17.9,38.8,0.7883,946,1182,7,1103
19.3,35.5,0.7876,864,1197,7.1,1116
20.1,32.9,0.7672,889,1249,8.1,1141
20,33,0.7625,903,1222,7.7,1151
20.2,32.2,0.7526,1121,1308,10.8,1263
18.9,34.4,0.7436,1319,1441,14.4,1324
17.9,37.6,0.7624,1829,1799,25.4,1533
16.7,43.4,0.8168,2000,1937,29.1,1626
15.9,47.9,0.8573,2001,1904,28.3,1639
15.3,52.6,0.906,1598,1490,14.2,1346
13.7,58.5,0.9146,1383,1291,8.4,1218
12.7,62.8,0.9198,1238,1280,7.5,1166
12.2,65,0.9193,1023,1175,5.2,1095
13,61.2,0.9105,659,1054,2.2,958
11.1,66.1,0.8738,657,1062,2,960
10.1,69.8,0.8619,764,1063,1.8,972
11.6,61,0.8299,667,1005,1.1,911
10.1,64.5,0.7968,667,1002,1.2,923
9.3,67.9,0.7969,856,1068,2.4,981
10.1,64.3,0.7934,940,1102,3.8,1038
10.4,62.7,0.7909,1406,1459,14,1370
13,53.9,0.8036,1617,1655,18.9,1471
16.4,44.6,0.8242,1694,1514,15.6,1447
19.1,36.7,0.8044,1473,1401,13.2,1329
21,30.6,0.7508,1087,1297,10.3,1197
22.1,27.6,0.7254,945,1264,9.7,1198
22.2,25.5,0.6752,905,1234,10,1171
23.6,23.2,0.6665,903,1262,10.9,1191
23.6,22.9,0.6571,1041,1292,12.3,1213
22.8,24.6,0.6736,1194,1363,14.2,1258
20.3,29.7,0.6973,1533,1611,21.6,1413
18,36,0.7345,1932,1890,30.9,1610
16.4,41.9,0.7759,2140,2028,33.5,1710
14.9,47.6,0.8003,1871,1615,19.9,1515
13.8,49.6,0.7793,1435,1227,8.4,1199
13.2,51.6,0.7765,1303,1156,6.1,1128
11.8,56.9,0.7836,1199,1144,5.7,1108
11.4,58,0.7818,1069,1087,4,1038
11.3,58,0.7742,989,1054,2.9,1004
10.7,59.6,0.7673,899,1021,2,969
9,65.4,0.7532,850,1026,1.7,938
8,68.9,0.7402,828,1008,1.6,927
7.5,70.9,0.7358,902,1060,3.3,977
7.6,69.2,0.7238,902,1054,3.6,1011
8.7,64.3,0.7257,1222,1293,10.2,1228
11.7,54.3,0.7459,1784,1809,25.2,1521
15.9,42.2,0.7553,1761,1477,16,1425
19.3,34.7,0.7681,1634,1376,13.3,1339
23.1,27.3,0.7615,1527,1351,11.9,1310
26.1,20.8,0.6959,1192,1249,10.9,1250
26.8,17.9,0.6249,1023,1192,11,1181
28.4,16,0.6095,1251,1353,17.3,1272
28.8,15.1,0.5877,1082,1188,12.4,1231
27.9,15.6,0.5782,1348,1350,17.4,1286
24.1,20.6,0.6075,1365,1408,17.5,1315
21,28,0.6904,1827,1682,26.2,1494
18.4,38.8,0.8152,1879,1677,23.1,1494
16.9,42.9,0.8222,1915,1676,23.5,1545
15.5,45,0.7895,1705,1357,13.3,1354
14.3,49.6,0.8049,1610,1283,10.5,1301
14.7,48,0.7977,1300,1158,6.3,1144
13.3,51.4,0.7821,1093,1087,4.4,1080
12.6,53.7,0.7793,986,1056,3.3,1013
11.5,56.8,0.7706,846,1017,2,966
10.1,61.9,0.7631,822,1016,1.9,959
9.8,61.8,0.7523,714,983,1.4,919
9,64.3,0.7417,838,1020,2.3,953
7.9,68.4,0.7324,1109,1178,5.9,1117
9.5,62.6,0.7444,1676,1647,18.9,1485
13.2,51,0.7704,1976,1808,26.1,1583
16.9,40.3,0.7717,1814,1490,16.2,1448
20.8,31.3,0.7617,1538,1296,10.8,1294
24.3,24.7,0.7407,1383,1273,11.1,1269
26.7,22.6,0.7785,1184,1255,10.2,1247
27.1,21.7,0.7636,1094,1312,11.9,1239
28.3,17.9,0.6769,986,1271,11.8,1199
27.8,20,0.7378,967,1277,10.9,1216
26.2,19.4,0.6491,831,1158,8.6,1131
22.7,24.4,0.6661,1182,1353,15,1300
20.2,29.3,0.686,1523,1518,21.3,1358
17.3,35.2,0.6907,1780,1690,24.8,1492
16.1,38.7,0.7023,1682,1504,18.4,1413
14.6,44.5,0.7337,1390,1224,9.1,1210
13.7,48.6,0.7555,1390,1185,8.1,1196
12.4,52.2,0.7513,1201,1123,5.9,1101
